"Order number","Item sold","Cost per item","Quantity","Date"
"18104","Charger","10.99","5","01/07/2024"
"18105","Smartwatch","289.99","1","01/07/2024"
"18106","Headphones","39.99","1","01/07/2024"
"18107","Smartwatch","289.99","1","01/07/2024"
"18108","Headphones","39.99","2","01/07/2024"
"18109","Phone","699.99","2","01/07/2024"
"18110","Headphones","39.99","1","02/07/2024"
"18111","Smartwatch","289.99","2","02/07/2024"
"18112","Phone","699.99","1","02/07/2024"
"18113","Charger","10.99","3","02/07/2024"
"18114","Charger","10.99","2","02/07/2024"
"18115","Phone","699.99","1","02/07/2024"
"18116","Charger","10.99","3","02/07/2024"
"18117","Headphones","39.99","1","02/07/2024"
"18118","Camera","499.99","1","02/07/2024"
"18119","Laptop","999.99","1","02/07/2024"
"18120","Camera","499.99","1","02/07/2024"
"18121","Laptop","999.99","1","02/07/2024"
"18122","Charger","10.99","2","02/07/2024"
"18123","Smartwatch","289.99","1","02/07/2024"
"18124","Phone","699.99","2","03/07/2024"
"18125","Laptop","999.99","1","03/07/2024"
"18126","Smartwatch","289.99","2","03/07/2024"
"18127","Camera","499.99","1","03/07/2024"
"18128","Headphones","39.99","3","03/07/2024"
"18129","Camera","499.99","1","03/07/2024"
"18130","Headphones","39.99","3","03/07/2024"
"18131","Camera","499.99","1","03/07/2024"
"18132","Charger","10.99","1","03/07/2024"
"18133","Laptop","999.99","1","03/07/2024"
"18134","Phone","699.99","2","03/07/2024"
"18135","Phone","699.99","2","03/07/2024"
"18136","Camera","499.99","1","03/07/2024"
"18137","Smartwatch","289.99","2","03/07/2024"
"18138","Headphones","39.99","1","03/07/2024"
"18139","Phone","699.99","1","04/07/2024"
"18140","Camera","499.99","1","04/07/2024"
"18141","Phone","699.99","1","04/07/2024"
"18142","Headphones","39.99","1","04/07/2024"
"18143","Headphones","39.99","1","04/07/2024"
"18144","Camera","499.99","1","04/07/2024"
"18145","Headphones","39.99","3","04/07/2024"
"18146","Charger","10.99","4","04/07/2024"
"18147","Headphones","39.99","2","04/07/2024"
"18148","Laptop","999.99","1","05/07/2024"
"18149","Headphones","39.99","1","05/07/2024"
"18150","Charger","10.99","4","05/07/2024"
"18151","Smartwatch","289.99","2","06/07/2024"
"18152","Phone","699.99","2","06/07/2024"
"18153","Laptop","999.99","1","06/07/2024"
"18154","Laptop","999.99","1","06/07/2024"
"18155","Charger","10.99","2","07/07/2024"
"18156","Smartwatch","289.99","1","07/07/2024"
"18157","Laptop","999.99","1","07/07/2024"
"18158","Camera","499.99","1","07/07/2024"
"18159","Camera","499.99","1","07/07/2024"
"18160","Camera","499.99","1","07/07/2024"
"18161","Smartwatch","289.99","1","07/07/2024"
"18162","Laptop","999.99","1","07/07/2024"
"18163","Phone","699.99","2","07/07/2024"
"18164","Smartwatch","289.99","1","07/07/2024"
"18165","Headphones","39.99","1","08/07/2024"
"18166","Camera","499.99","1","08/07/2024"
"18167","Camera","499.99","1","08/07/2024"
"18168","Laptop","999.99","1","08/07/2024"
"18169","Laptop","999.99","1","08/07/2024"
"18170","Headphones","39.99","3","08/07/2024"
"18171","Phone","699.99","2","08/07/2024"
"18172","Smartwatch","289.99","2","08/07/2024"
"18173","Smartwatch","289.99","2","08/07/2024"
"18174","Charger","10.99","1","08/07/2024"
"18175","Phone","699.99","2","09/07/2024"
"18176","Camera","499.99","1","09/07/2024"
"18177","Laptop","999.99","1","09/07/2024"
"18178","Laptop","999.99","1","09/07/2024"
"18179","Smartwatch","289.99","1","09/07/2024"
"18180","Headphones","39.99","1","09/07/2024"
"18181","Headphones","39.99","3","09/07/2024"
"18182","Smartwatch","289.99","1","09/07/2024"
"18183","Camera","499.99","1","09/07/2024"
"18184","Phone","699.99","2","10/07/2024"
"18185","Smartwatch","289.99","2","10/07/2024"
"18186","Charger","10.99","3","10/07/2024"
"18187","Phone","699.99","2","10/07/2024"
"18188","Phone","699.99","2","10/07/2024"
"18189","Laptop","999.99","1","10/07/2024"
"18190","Phone","699.99","2","10/07/2024"
"18191","Phone","699.99","2","10/07/2024"
"18192","Charger","10.99","3","10/07/2024"
"18193","Camera","499.99","1","10/07/2024"
"18194","Charger","10.99","4","11/07/2024"
"18195","Headphones","39.99","2","11/07/2024"
"18196","Headphones","39.99","1","11/07/2024"
"18197","Laptop","999.99","1","11/07/2024"
